area,original_semantics,corpus_evidence,purelottie_model,purelottie_import,target,status,required_validation
Blend modes,"bm maps to CSS compositing blend modes.","14621 layer bm plus shape bm keys","Layer bm and fill/stroke style bm are decoded as authored compositing facts.","Non-zero layer/fill/stroke blend modes are reported during RenderIR-to-PureLayer lowering with backend capability evidence.","PureLayer compositing/filter support or report",reported,"Blend-mode fixtures and ImportReport assertions for layer and style terms."
Solid layers,"ty 1 solid rectangle with sw/sh/sc.","759","Solid fields decoded.","Creates Layer with bounds and backgroundColor.","Layer.backgroundColor",lowered,"Solid color/bounds pixel test."
Null layers,"ty 3 transform carrier without pixels.","576","Decoded as null.","Creates transparent layer.","Empty Layer",approx,"Null parent matrix tests."
Precomp layers,"ty 0 instantiates asset layers with local timing/stretch/remap.","2469","refId,w,h,sr,st,tm and assets decoded; LottieLayerGraphEvaluator records precomp local frame, asset path, child count, size, and time-remap seconds/property trace.","Builds asset layers; reports non-1 stretch and time remap until lowering consumes local-frame evaluation.","Nested Layer",modeled,"Precomp local-frame and time-remap source graph fixtures."
Time stretch,"sr changes local time t prime = t / sr - st.","14692 sr keys","stretch decoded; LottieEvaluation.localFrame applies st and sr in source-frame space.","Reports stretch when not 1 but renders unstretched.","Timing scaling",reported,"Expected report and no silent render claim."
Time remap,"tm remaps local time in seconds.","135 tm keys","timeRemap decoded; LottieEvaluation.localFrame evaluates scalar remap and clamps exact op to op - 1 like lottie-web.","Reports time remap until lowering consumes the evaluator.","Local-time evaluator",reported,"Model field, evaluator, and ImportReport tests."
Composition VM trace,"Selected source-frame traversal exposes composition, layer, group, style, modifier, matte, precomp, semantic decision, evaluated value, and render node state before rendering.","All composition/layer fixtures","LottieCompositionVM runs independently of PureLayer with explicit instructions, frame clock, stacks, JSON paths, source ranges when available, diagnostics, checkpoints, deterministic render node ids, and debugger step/breakpoint/watch APIs.","Not a backend lowering step; emits trace records and placeholder render nodes for future RenderIR/PureLayer lowering.","RenderIR and IDE debugger stepping",modeled,"Swift Testing coverage for readable debug traces, fast traces, JSON paths, modifiers, masks, precomps, skipped layers, render ids, checkpoints, step into/over/out/back, breakpoints, and watches."
Layer graph trace,"Selected source frame exposes graph participation before backend nodes exist: visible content, transform carriers, precomp boundaries, hidden parents, matte sources, skipped hidden layers, skipped frame-window layers, masks, mattes, and local frames.","All composition/layer fixtures","LottieLayerGraphEvaluator emits LottieLayerGraphTrace with frame-window reference semantics, per-layer participation, render order, timing, parent chain, mask/matte source-target paths, precomp local frame, and diagnostics.","LottieRenderFrame.layerGraph carries the trace for lowerers and oracle dumps.","Backend graph/compositing input",modeled,"Swift Testing coverage for render order, op exclusivity, hidden parent, precomp time remap, mask diagnostics, matte diagnostics, and Codable round trip."
RenderIR frame boundary,"Selected source frame becomes backend-ready semantic IR before PureLayer/PureDraw object creation.","All composition/layer fixtures","LottieRenderIRBuilder emits LottieRenderFrame from LottieEvaluation without importing PureLayer; shape geometry/style/masks/trims are evaluated and retain provenance; LottieRenderFrame carries layerGraph.","LottieRenderIRLowerer consumes RenderIR only, assigns evaluated values to PureLayer, and reports backend gaps with structured evidence containing owner, fixture, source frame, Lottie/JSON path, source range when available, VM trace, RenderIR node/term, layer graph, and oracle artifact links; the checked-in lowering-gate report records 31 fixtures, 94 selected frames, 0 exclusions, and 45 backend findings.","Layer, ShapeLayer, PureDraw Path, and backend-gap diagnostics",approx,"Swift Testing coverage for PureLayer-free RenderIR emission, evaluated-value lowering, layer graph facts, exact source-path gap reports, backend owner evidence, intentional approximation evidence, and lowering-gate/report.json corpus snapshots."
lottie-web oracle,"Reference frames and numeric source intent come from pinned lottie-web behavior; pixel comparison is gated on semantic eligibility and numeric intent.","31 curated oracle fixtures plus 857 raw corpus files available for expansion.","LottieValidator decides eligibility; LottieRenderIRBuilder supplies trace context per selected source frame; committed purelottie.lottie-web-intent traces compare browser matrices, path counts, opacity, direct translation facts, and selected style/geometry facts to PureLottie source facts.","LottieFrameDump emits PureLayer PNGs plus validation/import/RenderIR summaries and per-frame RenderIR backend evidence; Tools/LottieOracle renders pinned lottie-web PNGs, extracts numeric intent JSON, writes comparison reports, and regenerates the curated corpus with npm --prefix Tools/LottieOracle run build-corpus.","External browser harness, lottie-web numeric trace, PNG diff, semantic trace artifacts, backend evidence artifacts, curated fixture manifest, checked-in lowering-gate report",modeled,"Node harness tests pin every committed trace and coverage family; Swift corpus tests decode all 31 fixtures and snapshots; selected-frame rationale, validation gate, lowering-gate snapshot, mismatch artifacts, RenderIR traces, and backend evidence eligibility blocking."
Corpus semantic ledger,"Every observed corpus field is classified before a fixture can influence conformance claims.","857 files; 675 unique payloads; source/license counts pinned.","Test ledger classifies observed fields as lowered, approximated, reported, metadata, or gap.","Fixture eligibility is derived conservatively from field classifications before visual oracle use.","Corpus gate and conformance matrix vocabulary",modeled,"CorpusSemanticLedgerTests fail on unclassified fields, count drift, missing licenses, status-vocabulary drift, and report eligibility reasons."
Image layers,"ty 2 references image asset.","361","Type known; image asset payload not modeled.","Reports layer type 2.","Image layer or report",reported,"Report includes asset/layer path."
Text layers,"ty 5 text document and animators.","222","Type known; text payload not modeled.","Reports layer type 5.","Text drawing or report",reported,"Report includes text layer path."
Masks,"Masks combine layer content by mode, opacity, inversion, and path.","1336 masks","mode/path/opacity/inversion decoded; layer graph records mask source path, target layer path, opacity, path payload, and mode/inversion diagnostics.","Supports one non-inverted additive mask; reports others/approximations.","Layer.mask",modeled,"Per-mode graph fixtures plus backend report tests."
Track mattes,"tt/tp/td connect matte layer to target.","502 tt; 357 td; 9 tp","trackMatteType, trackMatteParent, and trackMatteSource decoded; layer graph resolves implicit/explicit source path, target path, source JSON path, and hidden matte source participation.","Binding resolves matte edges and reports unsupported matte lowering with source path/range.","Layer mask/compositing graph",modeled,"Source graph tests for alpha matte edges, hidden matte source participation, and source-target diagnostics; lowering tests for backend reports."
Shape scope/order,"Shape arrays are scoped programs; styles/modifiers apply to preceding shapes.","25414 groups; 25412 transforms","Item arrays preserved; LottieShapeProgram exposes style runs and geometry fragments.","Semantic program preserves reverse walk; DrawingProgram lowers it to PureLayer.","PureDraw Path plus PureLayer layers",approx,"Semantic program and DrawingProgram golden tests against lottie-web examples."
Shape groups,"Groups scope transforms/styles/modifiers; opacity is atomic.","25414","items decoded; LottieShapeProgram keeps group boundary, transform, opacity, and compositing mode.","Recurses; static opacity transparency layer; animated opacity reported.","Nested Layer",approx,"Group opacity compositing tests."
Shape transforms,"Shape transform affects geometry and style transforms; skew supported by spec.","25412 tr","anchor/position/scale/rotation/opacity decoded; LottieTransformEvaluator.groupTransform emits the same source-frame matrix and operation trace for shape transform paths; skew missing.","Static baked into path; animated reported; multiple approximated.","AffineTransform on Path",approx,"Transform-order, group-transform path trace, and style-transform fixtures."
Paths,"sh Bezier vertices/tangents; animated paths morph at frame time.","23836","Static/keyframed Bezier decoded; d retained as source evidence; source-geometry trace emits vertices, tangents, closure, direction, and cubic bounds.","Static contour lowered through source-geometry trace; path morph reported.","PureDraw Path",approx,"Morph tests plus raw vertex preservation source-geometry tests."
Rectangles,"rc centered rectangle with lottie-web roundness/direction branch.","1126","position/size/roundness/direction decoded; source-geometry trace expands right-edge start, radius clamp, direction branch, and roundCorner 0.5519.","Static contour lowered through source-geometry trace; animated geometry reported by static importer.","PureDraw path from generated Bezier",approx,"Direction, start, radius clamp, tangent, and RenderIR source-geometry tests."
Ellipses,"el centered ellipse with noon start and direction branch.","3624","position/size/direction decoded; source-geometry trace expands noon-start contour and roundCorner 0.5519.","Static contour lowered through source-geometry trace; animated geometry reported by static importer.","PureDraw path from generated Bezier",approx,"Noon-start, direction, bounds, and trim-order fixtures."
Polystar,"sr star/polygon geometry.","148","sy/pt/p/r/or/os/ir/is/d decoded; source-geometry trace expands polygon/star contours with lottie-web point floor, rotation offset, direction multiplier, and roundness scaling.","Static contour lowered through source-geometry trace; animated geometry reported by static importer.","PureDraw path from generated Bezier",approx,"Polygon/star vertex, point floor, roundness constant, and RenderIR trace tests."
Solid fill,"fl style color/opacity/fill rule applies to preceding shapes.","18014","color/opacity/fillRule decoded.","Static lowered; animated color/opacity reported.","ShapeLayer.fillColor/fillRule",approx,"Style-scope and animated color report tests."
Stroke,"st style color/opacity/width/caps/joins/miter/dash/blend.","7456","color/opacity/width/caps/joins/miter/dash/blend decoded.","Static color/width lowered; animated style and PureLayer-missing caps/joins/miter/dash/blend reported.","ShapeLayer stroke style",approx,"Cap/join/dash fixtures; PureLayer #157 before exact lowering."
Gradient fill,"gf linear/radial gradient fill.","508","Unsupported shape type.","Reports shape type gf.","Gradient layer or report",reported,"Gradient stop parser and reference tests."
Gradient stroke,"gs gradient stroke.","103","Unsupported shape type.","Reports shape type gs.","Gradient stroke layer or report",reported,"Gradient stroke fixtures."
Trim path,"tm modifies preceding paths by length with start/end/offset and parallel/sequential mode; lottie-web scales percentages, normalizes offset turns, swaps reversed ranges, rounds to 4 decimals, and samples cubic lengths with 150 points.","2920","start/end/offset/multiple decoded; LottieSourceTrimEvaluator records path lengths, normalized values, sequence order, selected ranges, generated paths, and named approximations.","RenderIR carries trim traces; stroke trim still lowers to strokeStart/strokeEnd; sequential mode, offset, and trimmed fills remain reported or approximate backend behavior.","Source-intent trim trace first; ShapeLayer strokeStart/strokeEnd as limited backend target",approx,"Swift Testing coverage for ellipse quadrant, rectangle perimeter, cubic path, wrapped offset, empty, full, reversed, and parallel/sequential trims."
Merge paths,"mm boolean path operations.","1946","Unsupported shape type.","Reports shape type mm.","PureDraw boolean ops or report",reported,"Boolean geometry fixtures."
Repeater,"rp clones preceding elements with transform/opacity interpolation.","56","Unsupported shape type.","Reports shape type rp.","Layer replication or generated commands",reported,"Repeater source fixtures."
Rounded corners,"rd rounds preceding path corners.","58","Unsupported shape type.","Reports shape type rd.","Path modifier",reported,"Corner geometry fixtures."
Animated scalar/vector properties,"Keyframes use t/s/e/i/o/h, hold outside span, per-component easing, and position to/ti spatial motion paths.","Corpus-wide","AnimatedDouble, AnimatedVector, LottieKeyframe; LottieEvaluation emits property traces with source frame, span, timing, spatial arc length, and final value.","ScalarTimeline still samples PureLayer dimensions separately; exact source-intent traces now precede lowering, and incomplete timing handles or spatial tangents report semantic gaps.","KeyframeAnimation",approx,"Evaluator tests against lottie-web for easing, hold, per-component easing, spatial arc length, trace fields, malformed timing, and malformed spatial diagnostics."
Animated Bezier properties,"Path keyframes interpolate vertices/tangents.","Many sh.ks keyframes","AnimatedBezier decodes keyframes.","Reports path morph and uses initial path.","Frame-evaluated path animation",reported,"Morph oracle tests before lowering."
Slots,"slots substitute property values by sid.","Observed rarely/not classified","Not decoded.","Not reported.","Pre-import substitution",gap,"Slot substitution validator tests."
Effects/expressions,"lottie-web supports effects/expressions; security-sensitive.","355 ef keys","Not decoded.","Not reported.","Report-only unless supported",gap,"Detect and report with path."
Metadata/markers/fonts/chars,"Metadata usually safe; fonts/chars affect text rendering.","Present across corpus","Mostly not decoded.","Mostly not reported.","Ignore metadata; report text inputs",gap,"Separate harmless metadata from rendering inputs."
